date,state,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth,deaths_total,deaths_total_per100k,deaths_avg_week,deaths_avg_week_per100k,deaths_week_growth
2020-02-22,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-22,Nebraska,11,0.569,NA,NA,NA,0,0,NA,NA,NA
2020-02-22,Texas,4,0.014,0.2857142857142857,0.001,NA,0,0,0,0,NA
2020-02-22,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-22,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-02-23,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-23,California,9,0.023,0.2857142857142857,0.001,0.125,0,0,0,0,0
2020-02-23,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-23,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-23,Nebraska,11,0.569,NA,NA,NA,0,0,NA,NA,NA
2020-02-23,Texas,4,0.014,0.2857142857142857,0.001,NA,0,0,0,0,NA
2020-02-23,Washington,1,0.013,0,0,0,0,0,0,0,0
2020-02-23,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-02-24,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-24,California,11,0.028,0.5714285714285714,0.001,0.571,0,0,0,0,0
2020-02-24,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-24,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-24,Nebraska,12,0.62,0.2857142857142857,0.015,NA,0,0,0,0,NA
2020-02-24,Texas,10,0.034,1.1428571428571428,0.004,NA,0,0,0,0,NA
2020-02-24,Washington,5,0.066,0.5714285714285714,0.008,0.571,0,0,0,0,0
2020-02-24,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-02-25,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-25,California,11,0.028,0.5714285714285714,0.001,0.571,0,0,0,0,0
2020-02-25,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-25,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-25,Nebraska,13,0.672,0.42857142857142855,0.022,NA,0,0,0,0,NA
2020-02-25,Texas,10,0.034,1.1428571428571428,0.004,NA,0,0,0,0,NA
2020-02-25,Utah,1,0.031,NA,NA,NA,0,0,NA,NA,NA
2020-02-25,Washington,5,0.066,0.5714285714285714,0.008,0.571,0,0,0,0,0
2020-02-25,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-02-26,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-26,California,26,0.066,2.7142857142857144,0.007,2.714,0,0,0,0,0
2020-02-26,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-26,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-26,Nebraska,13,0.672,0.42857142857142855,0.022,NA,0,0,0,0,NA
2020-02-26,Texas,10,0.034,1.1428571428571428,0.004,0.875,0,0,0,0,0
2020-02-26,Utah,1,0.031,NA,NA,NA,0,0,NA,NA,NA
2020-02-26,Washington,5,0.066,0.5714285714285714,0.008,0.571,0,0,0,0,0
2020-02-26,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-02-27,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-27,California,26,0.066,2.5714285714285716,0.007,2.125,0,0,0,0,0
2020-02-27,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-27,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-27,Nebraska,13,0.672,0.2857142857142857,0.015,NA,0,0,0,0,NA
2020-02-27,Texas,10,0.034,1.1428571428571428,0.004,1.143,0,0,0,0,0
2020-02-27,Utah,1,0.031,NA,NA,NA,0,0,NA,NA,NA
2020-02-27,Washington,5,0.066,0.5714285714285714,0.008,0.571,0,0,0,0,0
2020-02-27,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-02-28,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-28,California,27,0.068,2.5714285714285716,0.007,1.778,0,0,0,0,0
2020-02-28,Illinois,2,0.016,0,0,0,0,0,0,0,0
2020-02-28,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-28,Nebraska,13,0.672,0.2857142857142857,0.015,NA,0,0,0,0,NA
2020-02-28,Oregon,1,0.024,NA,NA,NA,0,0,NA,NA,NA
2020-02-28,Texas,11,0.038,1,0.003,0.556,0,0,0,0,0
2020-02-28,Utah,1,0.031,NA,NA,NA,0,0,NA,NA,NA
2020-02-28,Washington,7,0.092,0.8571428571428571,0.011,0.857,0,0,0,0,0
2020-02-28,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-02-29,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-02-29,California,28,0.071,2.7142857142857144,0.007,1.889,0,0,0,0,0
2020-02-29,Illinois,3,0.024,0.14285714285714285,0.001,0.143,0,0,0,0,0
2020-02-29,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-02-29,Nebraska,13,0.672,0.2857142857142857,0.015,NA,0,0,0,0,NA
2020-02-29,Oregon,1,0.024,NA,NA,NA,0,0,NA,NA,NA
2020-02-29,Texas,11,0.038,1,0.003,0.556,0,0,0,0,0
2020-02-29,Utah,1,0.031,NA,NA,NA,0,0,NA,NA,NA
2020-02-29,Washington,10,0.131,1.2857142857142858,0.017,1.286,1,0.013,0.14285714285714285,0.002,0.143
2020-02-29,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-03-01,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-03-01,California,33,0.084,3.4285714285714284,0.009,2.444,0,0,0,0,0
2020-03-01,Florida,2,0.009,NA,NA,NA,0,0,NA,NA,NA
2020-03-01,Illinois,3,0.024,0.14285714285714285,0.001,0.143,0,0,0,0,0
2020-03-01,Massachusetts,1,0.015,0,0,0,0,0,0,0,0
2020-03-01,Nebraska,13,0.672,0.2857142857142857,0.015,NA,0,0,0,0,NA
2020-03-01,New York,1,0.005,NA,NA,NA,0,0,NA,NA,NA
2020-03-01,Oregon,2,0.047,NA,NA,NA,0,0,NA,NA,NA
2020-03-01,Rhode Island,2,0.189,NA,NA,NA,0,0,NA,NA,NA
2020-03-01,Texas,11,0.038,1,0.003,0.556,0,0,0,0,0
2020-03-01,Utah,1,0.031,NA,NA,NA,0,0,NA,NA,NA
2020-03-01,Washington,17,0.223,2.2857142857142856,0.03,2.286,3,0.039,0.42857142857142855,0.006,0.429
2020-03-01,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-03-02,Arizona,1,0.014,0,0,0,0,0,0,0,0
2020-03-02,California,38,0.096,3.857142857142857,0.01,2.091,0,0,0,0,0
2020-03-02,Florida,2,0.009,NA,NA,NA,0,0,NA,NA,NA
2020-03-02,Georgia,2,0.019,NA,NA,NA,0,0,NA,NA,NA
2020-03-02,Illinois,4,0.032,0.2857142857142857,0.002,0.286,0,0,0,0,0
2020-03-02,Massachusetts,2,0.029,0.14285714285714285,0.002,0.143,0,0,0,0,0
2020-03-02,Nebraska,13,0.672,0.14285714285714285,0.007,-0.111,0,0,0,0,0
2020-03-02,New Hampshire,1,0.074,NA,NA,NA,0,0,NA,NA,NA
2020-03-02,New York,1,0.005,NA,NA,NA,0,0,NA,NA,NA
2020-03-02,Oregon,2,0.047,NA,NA,NA,0,0,NA,NA,NA
2020-03-02,Rhode Island,2,0.189,NA,NA,NA,0,0,NA,NA,NA
2020-03-02,Texas,11,0.038,0.14285714285714285,0,-0.467,0,0,0,0,0
2020-03-02,Utah,1,0.031,NA,NA,NA,0,0,NA,NA,NA
2020-03-02,Washington,23,0.302,2.5714285714285716,0.034,1.273,6,0.079,0.8571428571428571,0.011,0.857
2020-03-02,Wisconsin,1,0.017,0,0,0,0,0,0,0,0
2020-03-03,Arizona,2,0.027,0.14285714285714285,0.002,0.143,0,0,0,0,0
2020-03-03,California,45,0.114,4.857142857142857,0.012,2.727,0,0,0,0,0
2020-03-03,Florida,3,0.014,NA,NA,NA,0,0,NA,NA,NA
2020-03-03,Georgia,2,0.019,NA,NA,NA,0,0,NA,NA,NA
2020-03-03,Illinois,4,0.032,0.2857142857142857,0.002,0.286,0,0,0,0,0
2020-03-03,Massachusetts,2,0.029,0.14285714285714285,0.002,0.143,0,0,0,0,0
2020-03-03,Nebraska,13,0.672,0,0,-0.3,0,0,0,0,0
2020-03-03,New Hampshire,2,0.147,NA,NA,NA,0,0,NA,NA,NA
2020-03-03,New York,2,0.01,NA,NA,NA,0,0,NA,NA,NA
2020-03-03,North Carolina,1,0.01,NA,NA,NA,0,0,NA,NA,NA
2020-03-03,Oregon,2,0.047,NA,NA,NA,0,0,NA,NA,NA
2020-03-03,Rhode Island,2,0.189,NA,NA,NA,0,0,NA,NA,NA
2020-03-03,Texas,11,0.038,0.14285714285714285,0,-0.467,0,0,0,0,0
2020-03-03,Utah,1,0.031,0,0,NA,0,0,0,0,NA
